SPECIESID,TubeNo,Worker,Trait
Temn_affi,341,4,HeadWidth
Temn_affi,341,4,InterocularDistance
Temn_affi,341,3,HindTibia
Temn_affi,5702,4,MidFemur
Temn_nigr,17417,1,HindFemur
Temn_nigr,17417,1,MesosomaLength
Temn_nigr,17417,1,MesosomaWidth
Temn_nigr,17417,1,MidFemur
Temn_nigr,17417,2,MesosomaLength
Temn_nigr,17417,2,MesosomaWidth
Temn_nigr,17417,3,HindFemur
Temn_nigr,17417,3,MesosomaLength
Temn_nigr,17417,4,HindFemur
Temn_nigr,17417,4,MesosomaLength
Temn_nigr,17417,4,MesosomaWidth
Temn_nigr,17417,4,MidFemur
Temn_nigr,17417,1,HeadLength
Temn_nigr,17417,1,HeadWidth
Temn_nigr,17417,1,InterocularDistance
Temn_nigr,17417,1,ScapeLength
Temn_nigr,17417,2,HeadLength
Temn_nigr,17417,2,HeadWidth
Temn_nigr,17417,2,InterocularDistance
Temn_nigr,17417,4,HeadLength
Temn_nigr,17417,4,HeadWidth
Temn_nigr,17417,4,InterocularDistance
Temn_nigr,17417,4,ScapeLength
Temn_nigr,17417,1,HindTibia
Temn_nigr,17417,1,WebersLength
Temn_nigr,17417,2,HindTibia
Temn_nigr,17417,2,MidTibia
Temn_nigr,17417,2,WebersLength
Temn_nigr,17417,3,WebersLength
Temn_nigr,17417,4,WebersLength
Temn_nyla-GR,15037F,1,HindFemur
Temn_nyla-GR,15037F,1,MidFemur
Temn_nyla-GR,15037F,3,MesosomaWidth
Temn_nyla-GR,15037F,4,HindFemur
Temn_nyla-GR,15037F,1,HeadWidth
Temn_nyla-GR,15037F,1,InterocularDistance
Temn_nyla-GR,5753B,2,HindTibia
Temn_nyla-GR,9990064,3,HeadLength
Temn_nyla-GR,9990064,3,HeadWidth
Temn_nyla-GR,9990064,3,InterocularDistance
Temn_nyla-GR,9990064,3,WebersLength
Temn_nyla-GR,9990254,2,ScapeLength
Temn_nyla-GR,9990761,2,HindTibia
Temn_tube-GR,16949C,1,HeadWidth
Tetr_caes,13747,4,MidFemur
Tetr_caes,15940,3,MesosomaLength
Tetr_caes,15940,3,MesosomaWidth
Tetr_caes,15940,3,HeadWidth
Tetr_caes,15940,3,InterocularDistance
Tetr_caes,15940,3,WebersLength
Tetr_caes,8161,2,HindTibia
Tetr_caes,8161,4,MidTibia
Tetr_caes,9990367,1,MidTibia
Tetr_caes,9991680,2,HindFemur
Tetr_caes,9991958,1,HindFemur
Tetr_caes,9991958,2,HindTibia
Tetr_immi,2535,2,ScapeLength
Tetr_immi,5451,4,HindTibia
Tetr_impu,14298,4,HindTibia
Tetr_impu,15200,4,HeadWidth
Tetr_impu,15364,3,MidFemur
Tetr_impu,15364,3,HeadLength
Tetr_impu,15364,3,WebersLength
Tetr_impu,17017,4,MidTibia
Tetr_impu,17455,3,MidTibia
Tetr_impu,2042,3,WebersLength
Tetr_impu,2342,4,MidTibia
Tetr_impu,9990162,2,HeadLength
Tetr_impu,9990187,3,MesosomaWidth
Tetr_impu,9991368,4,HindTibia
